trade,direction,entry_index,exit_index,entry_price,exit_price,move_pct,outcome,wager,pnl,balance
1,LONG,0,1,42000.0,42750.0,1.786,WIN,10.0,10.0,1010.0
2,LONG,1,2,42750.0,41900.0,-1.988,LOSS,10.0,-10.0,1000.0
3,SHORT,2,3,41900.0,41150.0,-1.79,WIN,20.0,20.0,1020.0
4,SHORT,3,4,41150.0,41850.0,1.701,LOSS,10.0,-10.0,1010.0
5,LONG,4,5,41850.0,42550.0,1.673,WIN,20.0,20.0,1030.0
6,LONG,5,6,42550.0,43300.0,1.763,WIN,10.0,10.0,1040.0
7,LONG,6,7,43300.0,42400.0,-2.079,LOSS,10.0,-10.0,1030.0
8,SHORT,7,8,42400.0,41600.0,-1.887,WIN,20.0,20.0,1050.0
9,SHORT,8,9,41600.0,42300.0,1.683,LOSS,10.0,-10.0,1040.0
10,LONG,9,10,42300.0,43150.0,2.009,WIN,20.0,20.0,1060.0
11,LONG,10,11,43150.0,43950.0,1.854,WIN,10.0,10.0,1070.0
12,LONG,11,12,43950.0,43200.0,-1.706,LOSS,10.0,-10.0,1060.0
13,SHORT,12,13,43200.0,42450.0,-1.736,WIN,20.0,20.0,1080.0
14,SHORT,13,14,42450.0,41700.0,-1.767,WIN,10.0,10.0,1090.0
15,SHORT,14,15,41700.0,42500.0,1.918,LOSS,10.0,-10.0,1080.0
16,LONG,15,16,42500.0,43400.0,2.118,WIN,20.0,20.0,1100.0
17,LONG,16,17,43400.0,44200.0,1.843,WIN,10.0,10.0,1110.0
18,LONG,17,18,44200.0,43350.0,-1.923,LOSS,10.0,-10.0,1100.0
19,SHORT,18,19,43350.0,42550.0,-1.845,WIN,20.0,20.0,1120.0
20,SHORT,19,20,42550.0,41800.0,-1.763,WIN,10.0,10.0,1130.0
21,SHORT,20,21,41800.0,41050.0,-1.794,WIN,10.0,10.0,1140.0
22,SHORT,21,22,41050.0,41850.0,1.949,LOSS,10.0,-10.0,1130.0
23,LONG,22,23,41850.0,42700.0,2.031,WIN,20.0,20.0,1150.0
24,LONG,23,24,42700.0,43600.0,2.108,WIN,10.0,10.0,1160.0
25,LONG,24,25,43600.0,44450.0,1.95,WIN,10.0,10.0,1170.0
26,LONG,25,26,44450.0,43650.0,-1.8,LOSS,10.0,-10.0,1160.0
27,SHORT,26,27,43650.0,42800.0,-1.947,WIN,20.0,20.0,1180.0
28,SHORT,27,28,42800.0,41950.0,-1.986,WIN,10.0,10.0,1190.0
29,SHORT,28,29,41950.0,42750.0,1.907,LOSS,10.0,-10.0,1180.0
30,LONG,29,30,42750.0,43650.0,2.105,WIN,20.0,20.0,1200.0
31,LONG,30,31,43650.0,44550.0,2.062,WIN,10.0,10.0,1210.0
32,LONG,31,32,44550.0,45400.0,1.908,WIN,10.0,10.0,1220.0
33,LONG,32,33,45400.0,44600.0,-1.762,LOSS,10.0,-10.0,1210.0
34,SHORT,33,34,44600.0,43750.0,-1.906,WIN,20.0,20.0,1230.0
35,SHORT,34,35,43750.0,42900.0,-1.943,WIN,10.0,10.0,1240.0
36,SHORT,35,36,42900.0,43800.0,2.098,LOSS,10.0,-10.0,1230.0
37,LONG,36,37,43800.0,44700.0,2.055,WIN,20.0,20.0,1250.0
38,LONG,37,38,44700.0,45600.0,2.013,WIN,10.0,10.0,1260.0
39,LONG,38,39,45600.0,44750.0,-1.864,LOSS,10.0,-10.0,1250.0
40,SHORT,39,40,44750.0,43900.0,-1.899,WIN,20.0,20.0,1270.0
